date,temperature,humidity,wind_speed,pressure,cloud_cover,precipitation,temperature_min,temperature_max,temp_range,temp_hourly_std,hdh_18c,hdh_15c,hours_below_0c,wind_chill_mean,wind_chill_min
2025-04-04 07:00:00,13.858333333333334,71.58333333333333,8.545833333333333,1012.5583333333334,5.0,0.0,9.9,19.0,9.1,3.534293689559199,103.7,54.699999999999996,0,13.003750000000002,8.57
2025-04-05 07:00:00,12.133333333333333,77.66666666666667,19.845833333333335,1002.2833333333333,6.166666666666667,1.5,9.4,16.6,7.200000000000001,2.4827520961655623,140.8,73.8,0,10.14875,7.27
2025-04-06 07:00:00,9.008333333333333,70.95833333333333,20.462500000000002,1003.3166666666666,7.958333333333333,4.5,2.7,14.5,11.8,3.4996790743135877,215.8,143.8,0,6.962083333333333,1.0100000000000002
2025-04-07 07:00:00,3.783333333333333,54.916666666666664,11.637500000000001,1012.8666666666667,7.291666666666667,0.5,0.1,7.1,7.0,1.9318084941243563,341.2,269.2,0,2.6195833333333334,-1.45
2025-04-08 07:00:00,3.0500000000000003,53.75,19.270833333333332,1016.7333333333332,2.5,0.1,-0.4,7.0,7.4,2.425588229867049,358.8,286.8,2,1.1229166666666666,-1.4300000000000002
2025-04-09 07:00:00,1.3916666666666666,75.79166666666667,9.270833333333334,1014.1541666666667,5.083333333333333,5.4,-3.3,4.9,8.2,2.9553071887216977,398.6,326.6,7,0.4645833333333333,-4.02
2025-04-10 07:00:00,4.2375,60.916666666666664,17.662499999999998,1007.1083333333332,6.583333333333333,0.0,-1.8,7.5,9.3,2.503356442510908,330.3,258.3,1,2.47125,-2.92
2025-04-11 07:00:00,5.004166666666666,75.58333333333333,17.170833333333334,1005.4166666666666,7.375,2.1,0.5,10.2,9.7,3.202645532336837,311.9,239.9,0,3.2870833333333334,-0.41000000000000003
2025-04-12 07:00:00,5.904166666666666,79.45833333333333,9.6625,1014.3666666666667,5.125,3.6,1.6,12.4,10.8,3.443011720884047,290.3,218.3,0,4.937916666666667,0.6199999999999999
2025-04-13 07:00:00,6.791666666666667,72.08333333333333,8.1,1022.7333333333332,3.9583333333333335,0.0,1.9,11.8,9.9,3.4088014809067246,269.0,197.0,0,5.9816666666666665,1.25
2025-04-14 07:00:00,9.25,64.25,6.141666666666667,1028.25,0.0,0.0,3.6,15.0,11.4,4.221271187069436,210.0,138.0,0,8.635833333333332,2.92
2025-04-15 07:00:00,11.875,59.75,7.45,1028.0249999999999,2.1666666666666665,0.0,5.7,18.3,12.600000000000001,4.86194181997991,147.6,95.8,0,11.13,4.8
2025-04-16 07:00:00,14.233333333333334,59.5,8.795833333333333,1029.8833333333334,6.875,0.0,8.0,20.8,12.8,4.29445210016129,101.4,55.0,0,13.35375,6.909999999999999
2025-04-17 07:00:00,14.512500000000001,58.625,8.695833333333333,1027.3958333333333,0.875,0.0,7.8,21.0,13.2,4.820455733461398,100.8,57.6,0,13.642916666666666,6.97
2025-04-18 07:00:00,15.012500000000001,55.458333333333336,12.204166666666666,1020.625,0.0,0.0,8.5,21.8,13.3,4.972473140242669,95.8,53.5,0,13.792083333333332,7.1
2025-04-19 07:00:00,15.200000000000001,55.958333333333336,14.137500000000001,1015.1833333333334,0.0,0.0,9.4,21.7,12.299999999999999,4.221889130008858,84.9,41.8,0,13.78625,8.23
2025-04-20 07:00:00,15.666666666666666,64.20833333333333,9.104166666666666,1012.7041666666668,1.125,0.0,9.8,22.0,12.2,4.323913954284703,78.7,37.6,0,14.75625,9.440000000000001
2025-04-21 07:00:00,15.541666666666666,73.41666666666667,9.9125,1013.8041666666667,3.6666666666666665,2.3,9.2,22.2,13.0,4.480772125491288,80.9,40.6,0,14.550416666666665,8.7
2025-04-22 07:00:00,16.283333333333335,67.79166666666667,6.845833333333334,1014.9625,1.9583333333333333,0.0,10.0,23.1,13.100000000000001,4.844509816515891,74.3,36.2,0,15.59875,9.52
2025-04-23 07:00:00,18.666666666666668,54.083333333333336,8.0875,1012.6166666666667,0.5416666666666666,0.0,11.3,26.0,14.7,5.243602036657681,47.8,17.0,0,17.857916666666664,10.760000000000002
2025-04-24 07:00:00,18.9375,49.5,7.104166666666667,1008.4208333333332,1.0416666666666667,0.2,12.1,25.6,13.500000000000002,4.934775665576421,42.5,15.600000000000001,0,18.227083333333333,11.78
2025-04-25 07:00:00,19.1125,55.416666666666664,7.7625,1006.025,1.0416666666666667,1.2000000000000002,12.6,27.7,15.1,5.270369387268873,41.4,11.700000000000001,0,18.33625,11.66
2025-04-26 07:00:00,14.533333333333333,52.75,18.979166666666668,1011.0875,2.375,1.7000000000000002,6.3,23.4,17.099999999999998,6.355118899901404,114.0,73.5,0,12.635416666666666,4.64
2025-04-27 07:00:00,8.341666666666667,37.041666666666664,20.150000000000002,1024.6833333333334,1.2083333333333333,0.0,2.6,12.7,10.1,3.4958256680574458,231.8,159.8,0,6.326666666666665,1.45
