appliance_group,year,month,days_in_month,residents,n_consumers,pg_month,vpg_month,op_per_m2_month,total_predicted_month,actual_median_month,total_formula
"ОП,ПГ,ВПГ",2025,11,30,5,971,12.67,24.78,1.6778,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,12,31,1,945,5.92,0.0,2.9625,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,12,31,2,945,6.92,11.28,2.9625,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,12,31,3,945,7.46,11.68,2.9625,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,12,31,4,945,7.96,13.27,2.9625,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2025,12,31,5,945,12.67,30.23,2.9625,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2026,1,31,1,815,4.63,0.0,3.8708,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2026,1,31,2,815,6.36,12.34,3.8708,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2026,1,31,3,815,6.89,12.66,3.8708,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2026,1,31,4,815,7.35,14.93,3.8708,,,pg + vpg + op_per_m2 * area
"ОП,ПГ,ВПГ",2026,1,31,5,815,12.67,36.45,3.8708,,,pg + vpg + op_per_m2 * area
