account_id,appliance_group,profile_id
600190481,"ОП,ПГ,ВПГ",0
600196073,"ОП,ПГ,ВПГ",0
600197418,"ОП,ПГ,ВПГ",0
600204274,"ОП,ПГ,ВПГ",0
600212308,"ОП,ПГ,ВПГ",0
600213002,"ОП,ПГ,ВПГ",0
600214900,"ОП,ПГ,ВПГ",0
600293715,"ОП,ПГ,ВПГ",0
600295232,"ОП,ПГ,ВПГ",0
600298103,"ОП,ПГ,ВПГ",0
600298861,"ОП,ПГ,ВПГ",0
600299172,"ОП,ПГ,ВПГ",0
600302076,"ОП,ПГ,ВПГ",0
600192916,"ОП,ПГ,ВПГ",0
600198104,"ОП,ПГ,ВПГ",0
600198429,"ОП,ПГ,ВПГ",0
600202871,"ОП,ПГ,ВПГ",0
600205718,"ОП,ПГ,ВПГ",0
600207065,"ОП,ПГ,ВПГ",0
600208584,"ОП,ПГ,ВПГ",0
600212996,"ОП,ПГ,ВПГ",0
600292985,"ОП,ПГ,ВПГ",0
600294435,"ОП,ПГ,ВПГ",0
600296338,"ОП,ПГ,ВПГ",0
600298001,"ОП,ПГ,ВПГ",0
600302022,"ОП,ПГ,ВПГ",0
600302457,"ОП,ПГ,ВПГ",0
600303715,"ОП,ПГ,ВПГ",0
600304919,"ОП,ПГ,ВПГ",0
600188170,"ОП,ПГ,ВПГ",0
600192376,"ОП,ПГ,ВПГ",0
600192839,"ОП,ПГ,ВПГ",0
600193445,"ОП,ПГ,ВПГ",0
600194099,"ОП,ПГ,ВПГ",0
600194119,"ОП,ПГ,ВПГ",0
600195337,"ОП,ПГ,ВПГ",0
600197280,"ОП,ПГ,ВПГ",0
600212386,"ОП,ПГ,ВПГ",0
600214090,"ОП,ПГ,ВПГ",0
600214640,"ОП,ПГ,ВПГ",0
600220921,"ОП,ПГ,ВПГ",0
600221609,"ОП,ПГ,ВПГ",0
600223181,"ОП,ПГ,ВПГ",0
600223296,"ОП,ПГ,ВПГ",0
600226481,"ОП,ПГ,ВПГ",0
600229330,"ОП,ПГ,ВПГ",0
600233485,"ОП,ПГ,ВПГ",0
600234088,"ОП,ПГ,ВПГ",0
600235614,"ОП,ПГ,ВПГ",0
600236121,"ОП,ПГ,ВПГ",0
600239759,"ОП,ПГ,ВПГ",0
600240634,"ОП,ПГ,ВПГ",0
600241253,"ОП,ПГ,ВПГ",0
600203731,"ОП,ПГ,ВПГ",0
600206404,"ОП,ПГ,ВПГ",0
600207217,"ОП,ПГ,ВПГ",0
600215763,"ОП,ПГ,ВПГ",0
600217388,"ОП,ПГ,ВПГ",0
600219576,"ОП,ПГ,ВПГ",0
600223733,"ОП,ПГ,ВПГ",0
600229692,"ОП,ПГ,ВПГ",0
600230563,"ОП,ПГ,ВПГ",0
600237759,"ОП,ПГ,ВПГ",0
600209240,"ОП,ПГ,ВПГ",0
600209377,"ОП,ПГ,ВПГ",0
600213814,"ОП,ПГ,ВПГ",0
600215084,"ОП,ПГ,ВПГ",0
600217729,"ОП,ПГ,ВПГ",0
600220995,"ОП,ПГ,ВПГ",0
600224196,"ОП,ПГ,ВПГ",0
600225376,"ОП,ПГ,ВПГ",0
600228948,"ОП,ПГ,ВПГ",0
600229361,"ОП,ПГ,ВПГ",0
600231727,"ОП,ПГ,ВПГ",0
600231967,"ОП,ПГ,ВПГ",0
600234357,"ОП,ПГ,ВПГ",0
600234681,"ОП,ПГ,ВПГ",0
600238133,"ОП,ПГ,ВПГ",0
600238929,"ОП,ПГ,ВПГ",0
600240727,"ОП,ПГ,ВПГ",0
600241838,"ОП,ПГ,ВПГ",0
600242049,"ОП,ПГ,ВПГ",0
600212651,"ОП,ПГ,ВПГ",0
600214777,"ОП,ПГ,ВПГ",0
600215085,"ОП,ПГ,ВПГ",0
600215776,"ОП,ПГ,ВПГ",0
600216087,"ОП,ПГ,ВПГ",0
600216127,"ОП,ПГ,ВПГ",0
600219314,"ОП,ПГ,ВПГ",0
600220299,"ОП,ПГ,ВПГ",0
600220576,"ОП,ПГ,ВПГ",0
600225438,"ОП,ПГ,ВПГ",0
600227516,"ОП,ПГ,ВПГ",0
600228848,"ОП,ПГ,ВПГ",0
600228999,"ОП,ПГ,ВПГ",0
600230300,"ОП,ПГ,ВПГ",0
600234226,"ОП,ПГ,ВПГ",0
600235631,"ОП,ПГ,ВПГ",0
