account_id,grs,appliance_group,consumer_type,heated_area,k_i,k_i_clipped,is_outlier,corr_ok,n_nonzero,source
600319008,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,116.4,0.7206635635392595,0.7206635635392595,False,True,7,billing
600319012,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,39.1,1.0028423470373904,1.0028423470373904,False,False,7,billing
600319016,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,66.2,0.5474186642906277,0.5474186642906277,False,False,7,billing
600319020,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,50.0,0.867383200615001,0.867383200615001,False,True,7,billing
600319027,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,45.7,0.0480317288894429,0.0480317288894429,False,True,7,billing
600319031,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,85.4,0.015852170269111992,0.015852170269111992,False,False,7,billing
600319038,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,63.1,0.24740037410017418,0.24740037410017418,False,False,7,billing
600319061,С-1 (Лукашево) ГРС Лукашево,"ОП,ПГ,ВПГ",Приватний сектор,98.5,0.767695661093584,0.767695661093584,False,True,7,billing
600319059,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,84.0,0.6910240306396394,0.6910240306396394,False,False,5,billing
600319066,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,63.0,0.8883575084586482,0.8883575084586482,False,True,7,billing
600319069,ГРС (2) м.Запоріжжя,"ОП,ПГ",Приватний сектор,44.3,1.5758429498336717,1.5758429498336717,False,True,7,billing
600319083,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,82.4,0.7269970732822907,0.7269970732822907,False,True,7,billing
600319077,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,40.7,1.1734343149422517,1.1734343149422517,False,True,7,billing
600319081,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,43.9,0.7867690277346571,0.7867690277346571,False,True,7,billing
600319073,ГРС (2) м.Запоріжжя,"ОП,ПГ",Приватний сектор,62.2,0.14209355325429368,0.14209355325429368,False,False,7,billing
600319091,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ",Приватний сектор,28.8,0.030184623830208982,0.030184623830208982,False,False,2,billing
600319094,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ,ВПГ",Приватний сектор,40.4,0.6689890519881806,0.6689890519881806,False,False,6,billing
600319087,"С-1(Запоріж) ГРС-1,3 кільце","ОП,ПГ",Приватний сектор,31.1,2.0276936736995075,2.0276936736995075,False,False,7,billing
600319104,ГРС (2) м.Запоріжжя,"ОП,ПГ,ВПГ",Приватний сектор,72.0,0.895130222980766,0.895130222980766,False,False,7,billing
